№ бригады К1 К2 К3 Т1[c] Т2[c]
1 10 10 1 0.1 0.005
2 50 2.0 1 0.2 0.005
3 25 4.0 1 0.5 0.005
4 10 5.0 1 0.8 0.01
5 20 2.5 1 1.0 0.01
6 10 3.0 1 1.0 0.05
7 10 4.0 1 0.3 0.025
8 20 2.0 1 0.4 0.005
9 30 1.0 1 0.15 0.005
10 15 2.0 1 0.25 0.005
11 25 3.0 1 0.3 0.004
12 30 3.0 1 0.5 0.004
13 40 1.5 1 0.6 0.005
14 35 2.0 1 0.5 0.0025
15 45 1.5 1 0.4 0.0015
16 10 10 1 0.1 0.005
17 50 2.0 1 0.2 0.005
18 25 4.0 1 0.5 0.005
19 10 5.0 1 0.8 0.01
20 20 2.5 1 1.0 0.01
21 10 3.0 1 1.0 0.05
22 10 4.0 1 0.3 0.025
23 20 2.0 1 0.4 0.005
24 30 1.0 1 0.15 0.005
25 15 2.0 1 0.25 0.005
26 25 3.0 1 0.3 0.004
27 30 3.0 1 0.5 0.004
28 40 1.5 1 0.6 0.005
29 35 2.0 1 0.5 0.0025
30 40 2.0 1 0.25 0.0025
31 10 5.0 1 0.3 0.01
32 20 5.0 1 0.5 0.02
33 35 2.0 1 0.4 0.01
34 15 5.0 1 0.4 0.025
35 40 1.5 1 0.8 0.02
36 50 1.5 1 0.2 0.004
37 25 2.0 1 0.4 0.004
38 30 2.0 1 0.5 0.005
39 40 2.0 1 1.0 0.02
40 10 6.0 1 1.0 0.002
41 40 1.0 1 0.8 0.002
42 30 1.5 1 0.5 0.004
43 50 1.0 1 0.4 0.002
44 25 3.0 1 0.8 0.001
45 40 1.5 1 0.4 0.02
46 50 1.5 1 0.8 0.002
47 25 2.0 1 0.8 0.004
48 40 2.0 1 0.25 0.02
49 50 2.0 1 0.25 0.01
50 45 1.5 1 0.4 0.0015
